customer_id,cashier_id,type,time,day,price,payment_type
CUST000001,2,Books Stationery,20 22,Monday,1086.03,UPI
CUST000002,3,Sports Fitness,08 38,Monday,4100.88,CASH
CUST000003,1,Home Kitchen,19 06,Thursday,9680.64,CARD
CUST000004,2,Home Kitchen,06 59,Friday,9189.22,CARD
CUST000005,1,Grocery,01 36,Saturday,2712.57,CARD
CUST000006,1,Toys Games,06 12,Wednesday,2806.58,CARD
CUST000007,1,Grocery,12 53,Sunday,1532.56,CARD
CUST000008,5,Home Kitchen,09 17,Tuesday,6992.94,UPI
CUST000009,4,Beauty Personal Care,09 06,Friday,593.68,CASH
CUST000010,6,Books Stationery,23 33,Sunday,1568.07,CARD
CUST000011,4,Toys Games,12 15,Tuesday,2151.69,CARD
CUST000012,2,Toys Games,11 08,Tuesday,1093.56,CARD
CUST000013,2,Books Stationery,06 57,Thursday,694.79,CASH
CUST000014,2,Home Kitchen,09 23,Wednesday,6176.10,UPI
CUST000015,6,Grocery,21 35,Friday,1802.05,UPI
CUST000016,2,Sports Fitness,22 58,Thursday,7421.68,CASH
CUST000017,3,Beauty Personal Care,10 22,Saturday,2718.65,CASH
CUST000018,3,Healthcare,22 32,Sunday,4425.79,UPI
CUST000019,2,Electronics,06 01,Thursday,13186.80,CARD
CUST000020,4,Food,15 14,Monday,336.03,UPI
CUST000021,5,Grocery,12 27,Monday,2980.57,CARD
CUST000022,1,Grocery,14 51,Monday,504.11,CASH
CUST000023,3,Food,12 56,Tuesday,634.12,CASH
CUST000024,1,Beauty Personal Care,22 33,Tuesday,2232.47,CASH
CUST000025,2,Electronics,14 26,Saturday,47488.51,CARD
CUST000026,4,Food,07 26,Tuesday,670.35,CASH
CUST000027,1,Toys Games,08 32,Sunday,3628.32,CASH
CUST000028,1,Fashion,21 34,Sunday,2018.36,UPI
CUST000029,5,Healthcare,10 54,Sunday,1383.63,CASH
CUST000030,6,Electronics,13 51,Wednesday,1257.74,CARD
CUST000031,3,Fashion,19 29,Sunday,2207.83,UPI
CUST000032,5,Home Kitchen,08 25,Monday,4690.61,CARD
CUST000033,5,Healthcare,11 40,Wednesday,3527.20,CARD
CUST000034,5,Sports Fitness,03 52,Tuesday,4507.28,CASH
CUST000035,6,Books Stationery,12 27,Thursday,1799.35,UPI
CUST000036,5,Fashion,15 02,Thursday,2153.97,CARD
CUST000037,3,Electronics,13 29,Saturday,47607.83,CASH
CUST000038,6,Toys Games,19 41,Tuesday,3744.43,UPI
CUST000039,5,Healthcare,10 13,Sunday,715.03,CARD
CUST000040,5,Toys Games,07 09,Sunday,4172.06,UPI
CUST000041,3,Food,03 08,Sunday,239.94,CASH
CUST000042,6,Home Kitchen,16 32,Friday,9848.50,CASH
CUST000043,1,Food,06 18,Tuesday,493.97,CASH
CUST000044,5,Toys Games,05 18,Monday,1040.10,CARD
CUST000045,4,Sports Fitness,02 52,Wednesday,4840.38,CARD
CUST000046,6,Sports Fitness,12 19,Tuesday,8081.41,UPI
CUST000047,2,Electronics,16 56,Tuesday,37199.84,UPI
CUST000048,4,Beauty Personal Care,11 26,Saturday,843.20,CARD
CUST000049,2,Healthcare,12 22,Wednesday,3783.47,CARD
CUST000050,5,Home Kitchen,02 29,Tuesday,6555.51,CASH
CUST000051,2,Toys Games,03 30,Wednesday,216.68,CARD
CUST000052,6,Food,09 49,Monday,765.94,CASH
CUST000053,4,Fashion,16 50,Monday,1904.91,UPI
CUST000054,5,Home Kitchen,19 57,Tuesday,6969.29,UPI
CUST000055,3,Electronics,15 12,Sunday,34909.35,CARD
CUST000056,6,Books Stationery,16 17,Thursday,1968.98,CASH
CUST000057,2,Toys Games,12 45,Sunday,3670.23,UPI
CUST000058,2,Electronics,01 05,Wednesday,17883.10,UPI
CUST000059,6,Beauty Personal Care,19 53,Sunday,1695.35,UPI
CUST000060,5,Grocery,23 23,Thursday,1358.76,CARD
CUST000061,2,Toys Games,18 13,Friday,4065.63,CARD
CUST000062,5,Healthcare,09 39,Thursday,4210.01,CARD
CUST000063,2,Healthcare,12 40,Thursday,506.24,CARD
CUST000064,3,Electronics,20 02,Saturday,43240.44,CASH
CUST000065,5,Fashion,16 29,Saturday,1675.71,CASH
CUST000066,2,Healthcare,11 24,Sunday,3915.43,CARD
CUST000067,5,Food,11 10,Tuesday,257.03,CARD
CUST000068,2,Books Stationery,09 01,Monday,253.21,CASH
CUST000069,1,Sports Fitness,17 54,Sunday,10553.39,UPI
CUST000070,1,Beauty Personal Care,18 11,Thursday,415.38,CARD
CUST000071,2,Electronics,16 18,Monday,1614.35,UPI
CUST000072,5,Sports Fitness,00 27,Monday,14633.18,CASH
CUST000073,6,Sports Fitness,22 26,Saturday,12710.52,UPI
CUST000074,1,Electronics,06 20,Sunday,44130.39,CARD
